Profile Name,Start Time,Duration,Title
Berkay,2023-07-01 07:45:51,00:13:59,The Good Place: Season 3: Janet(s) (Episode 9)
Berkay,2023-07-01 07:24:28,00:21:22,The Good Place: Season 3: Don't Let the Good Life Pass You By (Episode 8)
Berkay,2023-07-01 07:23:20,00:00:46,The Good Place: Season 3: The Worst Possible Use of Free Will (Episode 7)
Berkay,2023-07-01 07:23:12,00:00:03,The Good Place: Season 3: A Fractured Inheritance (Episode 6)
Berkay,2023-07-01 07:22:55,00:00:07,The Good Place: Season 3: Don't Let the Good Life Pass You By (Episode 8)
Berkay,2023-07-01 07:16:40,00:06:15,The Good Place: Season 3: The Worst Possible Use of Free Will (Episode 7)
Berkay,2023-07-01 06:54:15,00:02:10,The Good Place: Season 3: The Worst Possible Use of Free Will (Episode 7)
Berkay,2023-06-30 22:39:42,00:14:29,The Good Place: Season 3: The Worst Possible Use of Free Will (Episode 7)
Berkay,2023-06-30 22:38:23,00:01:14,The Good Place: Season 3: A Fractured Inheritance (Episode 6)
Berkay,2023-06-30 21:50:10,00:03:39,The Good Place: Season 3: A Fractured Inheritance (Episode 6)
Berkay,2023-06-30 20:53:44,00:05:55,The Good Place: Season 3: A Fractured Inheritance (Episode 6)
Berkay,2023-06-30 20:37:51,00:12:15,The Good Place: Season 3: A Fractured Inheritance (Episode 6)
Berkay,2023-06-30 20:15:47,00:22:01,The Good Place: Season 3: The Ballad of Donkey Doug (Episode 5)
Berkay,2023-06-30 20:00:32,00:14:03,The Good Place: Season 3: Jeremy Bearimy (Episode 4)
Berkay,2023-06-30 14:30:11,00:09:48,The Good Place: Season 3: Jeremy Bearimy (Episode 4)
Berkay,2023-06-30 14:19:20,00:10:41,The Good Place: Season 3: The Snowplow (Episode 3)
Berkay,2023-06-30 13:40:04,00:09:59,The Good Place: Season 3: The Snowplow (Episode 3)
Berkay,2023-06-30 13:04:58,00:02:26,The Good Place: Season 3: The Snowplow (Episode 3)
Berkay,2023-06-30 12:42:04,00:22:46,The Good Place: Season 3: The Brainy Bunch (Episode 2)
Berkay,2023-06-30 12:19:26,00:22:02,The Good Place: Season 3: Everything is Bonzer (Episode 1)
